timestamp,flow_id,pcap_cnt,event_type,vlan,src_ip,src_port,dest_ip,dest_port,proto,dns.type,dns.id,dns.rrname,dns.rrtype,tld
2017-07-22T17:34:15.002135-0500,491661900056663.0,58540.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,26899.0,2001:0500:002f:0000:0000:0000:0000:000f,53.0,UDP,query,40873.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:35:16.139964-0500,23218411020988.0,63147.0,dns,110.0,192.168.201.72,60091.0,192.168.207.4,53.0,UDP,query,2470.0,safebrowsing.clients.google.com,A,google.com
2017-07-22T17:33:44.997506-0500,1183800172755074.0,56243.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,17116.0,2001:0500:0001:0000:0000:0000:803f:0235,53.0,UDP,query,12765.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:34:55.074418-0500,2017294415766194.0,61675.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,58543.0,2001:0503:ba3e:0000:0000:0000:0002:0030,53.0,UDP,query,45777.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:35:16.140414-0500,1213955144164478.0,63149.0,dns,110.0,192.168.201.72,59295.0,192.168.207.4,53.0,UDP,query,24498.0,safebrowsing.clients.google.com,A,google.com
2017-07-22T17:34:03.615183-0500,2218131378103055.0,57614.0,dns,180.0,192.168.198.62,59392.0,192.168.207.4,53.0,UDP,query,63808.0,wpad.home,A,wpad.home
2017-07-22T17:35:23.772851-0500,1098948805380851.0,63627.0,dns,140.0,192.168.204.59,47009.0,192.168.207.4,53.0,UDP,query,39387.0,safebrowsing.clients.google.com.stayonline.net,A,stayonline.net
2017-07-22T17:35:25.080649-0500,47871523896073.0,63737.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,52143.0,2001:0503:0c27:0000:0000:0000:0002:0030,53.0,UDP,query,42714.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:33:27.398565-0500,2090016796251365.0,54531.0,dns,150.0,192.168.205.170,36690.0,192.168.207.4,53.0,UDP,query,26728.0,aolmtcmxm04.office.aol.com.ad.aol.aoltw.net,A,aoltw.net
2017-07-22T17:35:45.146347-0500,253737897638827.0,66186.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,3127.0,2001:0500:0001:0000:0000:0000:803f:0235,53.0,UDP,query,58465.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:34:45.072033-0500,49722652170593.0,60675.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,33150.0,2001:07fd:0000:0000:0000:0000:0000:0001,53.0,UDP,query,31082.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:35:15.078234-0500,442540363035034.0,63010.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,22027.0,2001:0503:ba3e:0000:0000:0000:0002:0030,53.0,UDP,query,33688.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:35:23.772401-0500,1993006377584945.0,63625.0,dns,140.0,192.168.204.59,42809.0,192.168.207.4,53.0,UDP,query,42289.0,safebrowsing.clients.google.com,A,google.com
2017-07-22T17:35:55.148906-0500,1369007761081770.0,67279.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,30737.0,2001:07fd:0000:0000:0000:0000:0000:0001,53.0,UDP,query,27041.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:36:15.154411-0500,153154060507947.0,69785.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,58607.0,2001:07fd:0000:0000:0000:0000:0000:0001,53.0,UDP,query,43738.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:36:35.160852-0500,243631842882644.0,71451.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,33400.0,2001:0503:0c27:0000:0000:0000:0002:0030,53.0,UDP,query,56432.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:36:25.156580-0500,309533820412836.0,70516.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,36008.0,2001:07fe:0000:0000:0000:0000:0000:0053,53.0,UDP,query,20968.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:37:05.227565-0500,221182050793709.0,74109.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,21195.0,2001:0500:0003:0000:0000:0000:0000:0042,53.0,UDP,query,44928.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:37:20.468186-0500,98401821664474.0,75808.0,dns,150.0,192.168.205.170,30692.0,192.168.207.4,53.0,UDP,query,48331.0,AOLDTCMA04.ad.aol.aoltw.net.office.aol.com,A,aol.com
2017-07-22T17:36:54.121304-0500,1706085388311000.0,72996.0,dns,110.0,192.168.201.68,47389.0,192.168.207.4,53.0,UDP,query,15324.0,safebrowsing.clients.google.com,A,google.com
2017-07-22T17:37:20.470083-0500,34363859283011.0,75810.0,dns,150.0,192.168.205.170,33964.0,192.168.207.4,53.0,UDP,query,44621.0,AOLDTCMA04.office.aol.com,A,aol.com
2017-07-22T17:37:31.536277-0500,363487203897045.0,76982.0,dns,110.0,192.168.201.68,55728.0,192.168.207.4,53.0,UDP,query,359.0,192.168.22.110phpmyadmin,A,192.168.22.110phpmyadmin
2017-07-22T17:37:35.234452-0500,1987998454354900.0,77238.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,51728.0,2001:0503:ba3e:0000:0000:0000:0002:0030,53.0,UDP,query,31638.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:36:28.423097-0500,1718188604421305.0,70787.0,dns,110.0,192.168.201.68,55126.0,192.168.207.4,53.0,UDP,query,10517.0,secure.informaction.com,A,informaction.com
2017-07-22T17:36:28.423646-0500,1917337648002782.0,70789.0,dns,110.0,192.168.201.68,38397.0,192.168.207.4,53.0,UDP,query,65312.0,secure.informaction.com.localdomain,A,secure.informaction.com.localdomain
2017-07-22T17:38:05.308886-0500,848139905775254.0,80706.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,17390.0,2001:0503:ba3e:0000:0000:0000:0002:0030,53.0,UDP,query,40233.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:36:54.121852-0500,1675174508682236.0,72998.0,dns,110.0,192.168.201.68,52273.0,192.168.207.4,53.0,UDP,query,44662.0,safebrowsing.clients.google.com.localdomain,A,safebrowsing.clients.google.com.localdomain
2017-07-22T17:36:54.123600-0500,1952264323785424.0,73004.0,dns,110.0,192.168.201.68,60560.0,192.168.207.4,53.0,UDP,query,49778.0,safebrowsing.clients.google.com,A,google.com
2017-07-22T17:38:15.312056-0500,1427651253748472.0,81892.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,46332.0,2001:0503:0c27:0000:0000:0000:0002:0030,53.0,UDP,query,35235.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:36:55.225352-0500,392332201914440.0,73116.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,61382.0,2001:07fe:0000:0000:0000:0000:0000:0053,53.0,UDP,query,47572.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:38:35.308429-0500,1101620287616205.0,83654.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,3170.0,2001:0dc3:0000:0000:0000:0000:0000:0035,53.0,UDP,query,56016.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:38:23.579129-0500,805258953479737.0,82701.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,63200.0,2001:0500:0003:0000:0000:0000:0000:0042,53.0,UDP,query,63097.0,secure.informaction.com,A,informaction.com
2017-07-22T17:38:12.884111-0500,606698319674767.0,81728.0,dns,150.0,192.168.205.170,15513.0,192.168.207.4,53.0,UDP,query,65405.0,AOLDTCMA04.office.aol.com,A,aol.com
2017-07-22T17:38:45.310629-0500,1959290897546597.0,84434.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,18752.0,2001:0503:ba3e:0000:0000:0000:0002:0030,53.0,UDP,query,40703.0,stork79.dropbox.com,A,dropbox.com
2017-07-22T17:38:13.574970-0500,1437533973366266.0,81778.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,15023.0,2001:0503:0c27:0000:0000:0000:0002:0030,53.0,UDP,query,60019.0,secure.informaction.com,A,informaction.com
2017-07-22T17:37:22.625005-0500,1614155910121837.0,76017.0,dns,140.0,192.168.204.57,61264.0,192.168.207.4,53.0,UDP,query,23003.0,secure.informaction.com,A,informaction.com
2017-07-22T17:37:25.232010-0500,683208864008778.0,76260.0,dns,110.0,2001:0dbb:0c18:0011:0260:6eff:fe30:0863,17503.0,2001:07fe:0000:0000:0000:0000:0000:0053,53.0,UDP,query,12952.0,stork79.dropbox.com,A,dropbox.com
